XS_Ea_sum,dXS_Ea,Ea_mean
0.0,0.0,5000.0
0.0,0.0,15000.0
0.0,0.0,25000.0
0.0,0.0,35000.0
0.0,0.0,45000.0
0.0,0.0,55000.0
0.0,0.0,65000.0
0.0,0.0,75000.0
0.0,0.0,85000.0
0.0,0.0,95000.0
0.0,0.0,105000.0
0.0,0.0,115000.0
0.0,0.0,125000.0
0.0,0.0,135000.0
0.0,0.0,145000.0
0.0,0.0,155000.0
0.0,0.0,165000.0
0.0,0.0,175000.0
0.0,0.0,185000.0
0.0,0.0,195000.0
0.0,0.0,205000.0
0.0,0.0,215000.0
0.0,0.0,225000.0
0.0,0.0,235000.0
0.0,0.0,245000.0
0.0,0.0,255000.0
0.0,0.0,265000.0
0.0,0.0,275000.0
0.0,0.0,285000.0
0.0,0.0,295000.0
0.0,0.0,305000.0
0.0,0.0,315000.0
0.0,0.0,325000.0
0.0,0.0,335000.0
0.0,0.0,345000.0
0.0,0.0,355000.0
0.0,0.0,365000.0
0.0,0.0,375000.0
0.0,0.0,385000.0
0.0,0.0,395000.0
0.0,0.0,405000.0
0.0,0.0,415000.0
0.0,0.0,425000.0
0.0,0.0,435000.0
0.0,0.0,445000.0
0.0,0.0,455000.0
0.0,0.0,465000.0
0.0,0.0,475000.0
0.0,0.0,485000.0
0.0,0.0,495000.0
0.0,0.0,505000.0
0.0,0.0,515000.0
0.0,0.0,525000.0
0.0,0.0,535000.0
0.0,0.0,545000.0
0.0,0.0,555000.0
0.0,0.0,565000.0
0.0,0.0,575000.0
0.0,0.0,585000.0
0.0,0.0,595000.0
0.0,0.0,605000.0
0.0,0.0,615000.0
0.0,0.0,625000.0
0.0,0.0,635000.0
0.0,0.0,645000.0
0.0,0.0,655000.0
0.0,0.0,665000.0
0.0,0.0,675000.0
0.0,0.0,685000.0
0.0,0.0,695000.0
0.0,0.0,705000.0
0.0,0.0,715000.0
0.0,0.0,725000.0
0.0,0.0,735000.0
0.0,0.0,745000.0
0.0,0.0,755000.0
2.6000000000000005e-06,0.0,765000.0
0.0,0.0,775000.0
3.3e-06,0.0,785000.0
0.0,0.0,795000.0
5.1e-06,0.0,805000.0
0.0,0.0,815000.0
7.2e-06,0.0,825000.0
0.0,0.0,835000.0
1.08e-05,0.0,845000.0
0.0,0.0,855000.0
1.43e-05,0.0,865000.0
